LED01,LED02,LED03,LED04,LED05,LED06,LED07,LED08,LED09,LED10,LED11,LED12,Resolution,nLoop
85,85,85,85,85,85,85,85,85,85,85,85,20000.0,1000.0
78,78,78,78,78,78,78,78,78,78,78,78,20000.0,1000.0
69,69,69,69,69,69,69,69,69,69,69,69,20000.0,1000.0
59,59,59,59,59,59,59,59,59,59,59,59,20000.0,1000.0
50,50,50,50,50,50,50,50,50,50,50,50,20000.0,1000.0
40,40,40,40,40,40,40,40,40,40,40,40,20000.0,1000.0
30,30,30,30,30,30,30,30,30,30,30,30,20000.0,1000.0
21,21,21,21,21,21,21,21,21,21,21,21,20000.0,1000.0
14,14,14,14,14,14,14,14,14,14,14,14,20000.0,1000.0
7,7,7,7,7,7,7,7,7,7,7,7,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,20000.0,1000.0
6,6,6,6,6,6,6,6,6,6,6,6,20000.0,1000.0
12,12,12,12,12,12,12,12,12,12,12,12,20000.0,1000.0
20,20,20,20,20,20,20,20,20,20,20,20,20000.0,1000.0
29,29,29,29,29,29,29,29,29,29,29,29,20000.0,1000.0
39,39,39,39,39,39,39,39,39,39,39,39,20000.0,1000.0
50,50,50,50,50,50,50,50,50,50,50,50,20000.0,1000.0
60,60,60,60,60,60,60,60,60,60,60,60,20000.0,1000.0
71,71,71,71,71,71,71,71,71,71,71,71,20000.0,1000.0
80,80,80,80,80,80,80,80,80,80,80,80,20000.0,1000.0
88,88,88,88,88,88,88,88,88,88,88,88,20000.0,1000.0
95,95,95,95,95,95,95,95,95,95,95,95,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
95,95,95,95,95,95,95,95,95,95,95,95,20000.0,1000.0
89,89,89,89,89,89,89,89,89,89,89,89,20000.0,1000.0
81,81,81,81,81,81,81,81,81,81,81,81,20000.0,1000.0
71,71,71,71,71,71,71,71,71,71,71,71,20000.0,1000.0
60,60,60,60,60,60,60,60,60,60,60,60,20000.0,1000.0
49,49,49,49,49,49,49,49,49,49,49,49,20000.0,1000.0
37,37,37,37,37,37,37,37,37,37,37,37,20000.0,1000.0
26,26,26,26,26,26,26,26,26,26,26,26,20000.0,1000.0
16,16,16,16,16,16,16,16,16,16,16,16,20000.0,1000.0
9,9,9,9,9,9,9,9,9,9,9,9,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
4,4,4,4,4,4,4,4,4,4,4,4,20000.0,1000.0
9,9,9,9,9,9,9,9,9,9,9,9,20000.0,1000.0
18,18,18,18,18,18,18,18,18,18,18,18,20000.0,1000.0
28,28,28,28,28,28,28,28,28,28,28,28,20000.0,1000.0
40,40,40,40,40,40,40,40,40,40,40,40,20000.0,1000.0
53,53,53,53,53,53,53,53,53,53,53,53,20000.0,1000.0
65,65,65,65,65,65,65,65,65,65,65,65,20000.0,1000.0
76,76,76,76,76,76,76,76,76,76,76,76,20000.0,1000.0
86,86,86,86,86,86,86,86,86,86,86,86,20000.0,1000.0
94,94,94,94,94,94,94,94,94,94,94,94,20000.0,1000.0
99,99,99,99,99,99,99,99,99,99,99,99,20000.0,1000.0
100,100,100,100,100,100,100,100,100,100,100,100,20000.0,1000.0
98,98,98,98,98,98,98,98,98,98,98,98,20000.0,1000.0
93,93,93,93,93,93,93,93,93,93,93,93,20000.0,1000.0
85,85,85,85,85,85,85,85,85,85,85,85,20000.0,1000.0
74,74,74,74,74,74,74,74,74,74,74,74,20000.0,1000.0
62,62,62,62,62,62,62,62,62,62,62,62,20000.0,1000.0
49,49,49,49,49,49,49,49,49,49,49,49,20000.0,1000.0
36,36,36,36,36,36,36,36,36,36,36,36,20000.0,1000.0
24,24,24,24,24,24,24,24,24,24,24,24,20000.0,1000.0
13,13,13,13,13,13,13,13,13,13,13,13,20000.0,1000.0
5,5,5,5,5,5,5,5,5,5,5,5,20000.0,1000.0
1,1,1,1,1,1,1,1,1,1,1,1,20000.0,1000.0
0,0,0,0,0,0,0,0,0,0,0,0,20000.0,1000.0
3,3,3,3,3,3,3,3,3,3,3,3,20000.0,1000.0
9,9,9,9,9,9,9,9,9,9,9,9,20000.0,1000.0
19,19,19,19,19,19,19,19,19,19,19,19,20000.0,1000.0
31,31,31,31,31,31,31,31,31,31,31,31,20000.0,1000.0
45,45,45,45,45,45,45,45,45,45,45,45,20000.0,1000.0
59,59,59,59,59,59,59,59,59,59,59,59,20000.0,1000.0
